"이름","WAR.","G","타석","타수","득점","안타","X2타","X3타","홈런","루타","타점","도루","도실","볼넷","사구","고4","삼진","병살","희타","희비","타율","출루","장타","OPS","wOBA","wRC.","WPA","target"
"박준서",0.04,74,118,99,9,23,9,1,0,34,13,0,0,14,1,1,24,1,1,3,0.232,0.325,0.343,0.668,0.304,64.3,-1.19,7800
"손아섭",6.26,122,570,483,105,175,25,3,18,260,80,10,3,80,5,7,78,7,0,2,0.362,0.456,0.538,0.994,0.443,154.6,4.18,60000
"신본기",0.04,63,130,113,20,26,6,1,4,46,13,1,1,5,4,0,25,0,6,2,0.23,0.282,0.407,0.689,0.289,52.7,-0.45,5000
"용덕한",0.28,59,92,82,13,25,5,0,1,33,11,0,1,3,1,0,22,4,3,3,0.305,0.326,0.402,0.728,0.316,73.4,-0.42,6500
"임종혁",0.02,21,25,18,3,4,0,0,0,4,1,2,2,5,1,0,8,0,1,0,0.222,0.417,0.222,0.639,0.33,85,-0.28,2500
"장성우",0.52,43,99,84,10,23,4,0,1,30,9,0,0,12,1,0,19,1,0,2,0.274,0.364,0.357,0.721,0.339,88.3,-1.09,5500
"전준우",2.24,113,470,415,69,121,23,2,14,190,66,7,4,34,9,0,71,10,9,3,0.292,0.356,0.458,0.814,0.357,97.8,1.37,16000
"정훈",3.32,124,558,477,89,140,27,7,3,190,58,8,4,62,11,0,105,10,6,2,0.294,0.386,0.398,0.784,0.362,103.6,1.37,21000
"최준석",2.44,121,460,371,54,106,13,0,23,188,90,1,0,81,2,3,88,14,0,6,0.286,0.411,0.507,0.918,0.405,128,3.3,40000
"하준호",0.16,31,88,73,18,17,5,0,1,25,11,1,1,8,6,0,29,0,1,0,0.233,0.356,0.342,0.699,0.331,83.1,0.19,2400
"황동채",-0.06,12,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,0.188,-8.8,-0.05,3500
"황재균",3.98,128,550,486,66,156,33,3,12,231,76,17,10,53,3,0,86,8,4,4,0.321,0.388,0.475,0.864,0.386,117.4,1.17,50000
"김상수",3.16,128,493,427,74,123,20,8,5,174,63,53,6,41,7,1,77,7,10,8,0.288,0.354,0.407,0.762,0.339,86.9,1.4,31000
"김태완",0.91,65,108,95,14,33,7,0,2,46,15,0,0,8,4,0,17,4,1,0,0.347,0.421,0.484,0.905,0.409,130.5,0.29,6000
"김헌곤",0.56,76,143,123,17,32,5,3,3,52,20,2,2,13,6,0,20,1,1,0,0.26,0.359,0.423,0.782,0.354,96.7,0.47,2500
"나바로",6.23,125,602,500,118,154,27,1,31,276,98,25,9,96,1,1,71,7,0,5,0.308,0.417,0.552,0.969,0.424,139.2,4.26,70000
"박석민",4.52,110,425,356,77,112,21,0,27,214,72,0,1,54,12,3,62,12,0,3,0.315,0.419,0.601,1.02,0.438,147.7,2.78,37000
"박찬도",0.12,28,8,8,8,4,0,0,0,4,3,6,2,0,0,0,2,0,0,0,0.5,0.5,0.5,1,0.47,174.9,0.41,3100
"박한이",2.74,125,567,472,83,156,22,2,9,209,80,7,6,61,5,1,74,9,24,5,0.331,0.409,0.443,0.852,0.374,108.8,2.78,45000
"박해민",1.6,119,373,310,65,92,11,4,1,114,31,36,8,37,6,0,45,4,19,1,0.297,0.381,0.368,0.749,0.337,85.3,0.32,15000
"이승엽",2.42,127,548,506,83,156,30,0,32,282,101,5,1,40,0,3,77,10,0,2,0.308,0.358,0.557,0.915,0.393,118.3,3.39,1e+05
"이영욱",0,40,64,53,16,11,3,0,0,14,6,6,1,7,2,0,16,0,2,0,0.208,0.323,0.264,0.587,0.282,48.7,0.2,6000
"이지영",0.6,99,299,266,37,74,10,3,3,99,32,3,3,14,2,0,33,5,13,4,0.278,0.315,0.372,0.687,0.299,60.3,-1.08,21000
"이흥련",0.3,88,155,132,21,30,4,1,1,39,17,1,0,14,5,0,24,0,4,0,0.227,0.325,0.295,0.62,0.292,56,0.08,7500
"조동찬",0.26,31,87,74,8,20,4,0,1,27,6,5,2,10,1,0,21,5,1,1,0.27,0.361,0.365,0.725,0.336,84,-0.23,22000
"진갑용",0.12,11,17,17,2,7,0,0,0,7,4,0,0,0,0,0,1,0,0,0,0.412,0.412,0.412,0.824,0.387,118.7,-0.08,25000
"채태인",2.29,124,541,492,69,156,38,1,14,238,99,1,0,41,2,1,91,8,0,6,0.317,0.368,0.484,0.852,0.378,109.7,3.28,21000
"최형우",5.55,113,493,430,92,153,33,0,31,279,100,4,2,50,7,1,62,11,0,6,0.356,0.426,0.649,1.075,0.458,160.6,3.91,70000
"강경학",0.21,41,103,86,11,19,2,3,1,30,7,0,0,13,2,0,28,1,2,0,0.221,0.337,0.349,0.686,0.316,65.6,-0.11,6500
"김경언",1.69,89,355,300,43,94,16,3,8,140,52,1,3,40,4,0,42,8,7,4,0.313,0.397,0.467,0.863,0.382,110.4,2.49,20000
"김태균",4.94,118,508,422,66,154,30,0,18,238,84,0,2,70,11,1,73,18,0,5,0.365,0.463,0.564,1.027,0.456,158.8,4.95,160000
"김태완",0.23,89,214,186,26,48,8,0,7,77,39,0,0,24,3,1,51,10,0,1,0.258,0.351,0.414,0.764,0.346,88.2,0.1,8000
"김회성",0.36,59,162,140,21,33,8,1,6,61,18,0,0,14,4,0,45,4,3,1,0.236,0.321,0.436,0.757,0.329,76.8,-0.62,5500
"송광민",2.07,103,421,389,52,123,22,2,11,182,58,3,2,26,0,2,73,15,4,2,0.316,0.357,0.468,0.825,0.363,97.8,1.13,10000
"송주호",-0.13,17,26,22,5,3,0,0,0,3,2,1,0,4,0,0,7,0,0,0,0.136,0.269,0.136,0.406,0.223,9.2,-0.14,4000
"이시찬",0.17,45,119,105,14,30,4,0,0,34,9,4,1,10,0,0,19,3,3,1,0.286,0.345,0.324,0.669,0.31,64.1,-0.02,5100
"이용규",0.09,104,418,358,62,103,12,4,0,123,20,12,11,52,5,0,46,5,2,1,0.288,0.385,0.344,0.728,0.349,88.2,-0.76,70000
"이창열",0.07,22,25,21,5,4,2,1,0,8,3,1,0,3,1,0,6,0,0,0,0.19,0.32,0.381,0.701,0.321,68.2,0.18,3200
"정근우",3.67,125,549,464,91,137,28,5,6,193,44,32,3,66,9,0,56,11,7,3,0.295,0.391,0.416,0.807,0.369,101.7,2.34,70000
"정범모",0.54,85,212,186,18,47,10,0,6,75,23,1,0,17,1,0,39,8,5,3,0.253,0.314,0.403,0.717,0.314,66.9,-0.26,6000
"조인성",1.15,63,154,136,14,33,7,0,6,58,27,0,0,13,2,0,34,4,1,2,0.243,0.314,0.426,0.74,0.326,74.9,0.7,40000
"최진행",0.27,99,328,299,32,78,16,0,12,130,45,1,2,23,3,0,79,8,0,3,0.261,0.317,0.435,0.752,0.333,79.3,0.37,18500
"한상훈",0.76,77,203,175,23,50,8,1,1,63,21,3,1,24,0,0,40,4,4,0,0.286,0.372,0.36,0.732,0.34,83.1,0.02,20000
"양의지",5.65,132,513,442,70,144,27,0,20,231,93,5,4,39,24,3,64,7,2,6,0.326,0.405,0.523,0.928,0.408,149.1,3.31,42000
"김재호",3.64,133,488,410,63,126,24,3,3,165,50,7,2,54,3,0,42,18,14,7,0.307,0.386,0.402,0.789,0.354,105.3,-0.4,41000
"허경민",2.88,117,453,404,64,128,20,2,1,155,41,8,3,31,7,0,42,11,8,3,0.317,0.373,0.384,0.757,0.346,98.9,-0.08,20000
"민병헌",2.62,129,561,491,80,149,20,2,12,209,75,7,3,50,8,0,74,15,6,6,0.303,0.373,0.426,0.799,0.36,112.3,3.13,35000
"정수빈",2.29,128,570,491,79,145,27,7,2,192,59,15,9,43,11,1,70,9,19,6,0.295,0.361,0.391,0.752,0.334,91.2,0.55,28000
"오재원",2.08,120,474,411,60,115,20,2,11,172,59,31,8,47,4,1,94,9,7,4,0.28,0.356,0.418,0.775,0.345,102.6,0.82,55000
"오재일",1.84,66,213,180,33,52,11,1,14,107,36,0,0,28,2,2,49,5,1,2,0.289,0.387,0.594,0.981,0.414,158.4,1.11,9500
"박건우",1.47,70,175,158,31,54,12,0,5,81,26,2,1,12,3,0,29,2,2,0,0.342,0.399,0.513,0.912,0.403,143.3,0.97,7000
"최주환",1.25,100,270,238,34,67,16,2,5,102,32,0,3,25,3,2,34,6,3,1,0.282,0.356,0.429,0.784,0.349,104.7,0.1,11000
"고영민",0.68,41,77,67,13,22,1,0,3,32,11,4,2,6,3,0,22,4,0,1,0.328,0.403,0.478,0.88,0.397,138.8,-0.6,15000
"김재환",0.48,48,180,153,24,36,8,0,7,65,22,4,1,22,2,1,39,6,1,2,0.235,0.335,0.425,0.76,0.336,100.9,0.59,5000
"국해성",0.11,11,26,20,6,4,1,0,1,8,5,0,0,2,1,0,5,2,1,2,0.2,0.28,0.4,0.68,0.281,63.9,-0.25,3000
"김진형",0.1,14,21,18,3,3,2,0,1,8,2,0,0,3,0,0,7,1,0,0,0.167,0.286,0.444,0.73,0.317,91.2,-0.01,3000
"홍성흔",0.09,93,352,301,39,79,12,0,7,112,46,8,1,42,5,1,59,13,4,0,0.262,0.362,0.372,0.734,0.338,97.7,0.79,40000
"류지혁",0.07,14,5,5,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.2,0.2,0.2,0.4,0.187,-12.1,0,3000
"정진호",0.03,77,172,154,37,36,5,3,4,59,18,6,3,14,1,0,24,0,3,0,0.234,0.302,0.383,0.685,0.304,74.6,0.21,5200
"구자욱",4.99,116,465,410,97,143,33,5,11,219,57,17,7,45,6,0,79,3,0,4,0.349,0.417,0.534,0.951,0.422,148.4,1.81,8000
"최형우",4.13,144,637,547,94,174,33,1,33,308,123,2,5,73,9,7,101,13,0,8,0.318,0.402,0.563,0.965,0.416,143.3,3.48,70000
"박해민",3.52,144,608,525,96,154,22,7,0,190,47,60,8,56,2,1,126,8,23,2,0.293,0.362,0.362,0.724,0.326,85.2,1.65,15000
"이승엽",3.14,122,522,470,87,156,28,1,26,264,90,2,1,40,6,2,71,10,0,6,0.332,0.387,0.562,0.949,0.412,140.4,2.52,1e+05
"김상수",2.78,132,518,449,67,125,30,4,8,187,63,26,5,43,6,0,56,9,13,7,0.278,0.345,0.416,0.761,0.335,89.9,1.24,31000
"박한이",1.93,94,429,367,62,110,17,4,11,168,52,6,6,53,1,0,63,11,7,1,0.3,0.389,0.458,0.846,0.377,118.2,0.65,45000
"이지영",1.03,124,400,361,36,110,10,1,1,125,55,1,2,14,4,0,32,10,16,5,0.305,0.333,0.346,0.68,0.303,69.6,0.71,21000
"백상원",0.13,52,94,77,10,19,5,0,0,24,7,0,0,13,1,0,22,2,2,1,0.247,0.359,0.312,0.67,0.316,77,-0.39,4500
"박찬도",0.02,117,106,89,32,19,2,1,0,23,9,13,6,8,4,0,25,1,5,0,0.213,0.307,0.258,0.565,0.264,43.8,-0.58,3100
"이영욱",-0.02,38,26,22,8,5,2,0,0,7,2,0,1,3,1,0,10,0,0,0,0.227,0.346,0.318,0.664,0.32,79.1,-0.08,5500
"이흥련",-0.21,71,108,105,16,25,7,0,1,35,17,2,1,1,1,0,22,1,1,0,0.238,0.252,0.333,0.586,0.261,40.6,-0.26,7500
"김정혁",-0.23,17,20,18,3,3,0,0,0,3,1,0,0,1,0,0,3,0,1,0,0.167,0.211,0.167,0.377,0.177,-14.3,-0.35,3300
"김재현",-0.43,73,48,41,7,7,0,0,0,7,5,0,0,5,0,0,11,1,2,0,0.171,0.261,0.171,0.432,0.213,9.2,-0.07,4000
"최선호",-0.46,33,44,42,8,7,1,0,0,8,1,2,0,0,0,0,13,0,2,0,0.167,0.167,0.19,0.357,0.156,-27.9,-0.61,3500
"우동균",-0.47,37,82,72,12,15,4,0,0,19,6,0,2,9,0,0,12,2,1,0,0.208,0.296,0.264,0.56,0.268,44.7,-0.82,5500
"최정",3.23,81,330,275,43,81,17,0,17,149,58,5,2,46,5,2,78,6,1,3,0.295,0.401,0.542,0.943,0.41,143.2,1.39,1e+05
"정의윤",2.67,59,222,193,35,66,11,0,14,119,44,3,0,20,7,0,27,3,0,2,0.342,0.419,0.617,1.036,0.447,167.2,1.75,12000
"이명기",2.41,137,582,521,88,164,30,2,3,207,35,22,10,35,11,0,86,7,11,4,0.315,0.368,0.397,0.765,0.347,102.3,0.62,18000
"김성현",2.15,129,449,397,49,118,20,0,8,162,48,1,4,31,7,0,42,14,12,2,0.297,0.357,0.408,0.765,0.341,97.3,0.15,18000
"박정권",1.79,124,494,438,66,123,23,0,21,209,70,3,3,46,4,1,119,9,4,2,0.281,0.353,0.477,0.83,0.364,113,-0.4,40000
"이재원",1.68,140,559,489,58,138,18,1,17,209,100,1,3,54,11,5,85,22,0,5,0.282,0.363,0.427,0.791,0.355,106.7,1.41,28000
"정상호",1.51,113,324,279,34,71,11,1,12,120,49,1,2,22,15,0,80,2,8,0,0.254,0.342,0.43,0.772,0.34,97.1,0.53,50000
"김강민",1.03,96,328,293,43,72,17,0,4,101,31,7,4,23,7,0,83,6,4,1,0.246,0.315,0.345,0.66,0.302,72.9,-0.12,60000
"박재상",0.6,108,292,250,34,62,12,2,7,99,37,4,5,32,3,0,53,4,6,1,0.248,0.339,0.396,0.735,0.329,89.2,0.37,20000
"나주환",0.35,96,273,246,31,66,15,0,5,96,22,3,5,12,2,0,47,9,12,1,0.268,0.307,0.39,0.697,0.3,70.7,-0.73,20000
